File: ALL_001_F_GER_ENG_ST1.TextGrid
Clauses: 28
  independent               | a black bird saw a hat
  coordinated_vp            | and a little chicken kid sat in this hat
  parataxis                 | which now actually sat on gremlin's head the end
File: ALL_144_M_RUS_ENG_ST2.TextGrid
Clauses: 49
  independent               | another day a little boy has been sitting under the tree
  coordinated_vp            | and he was doing nothing
  subordinate_advcl         | except he was blowing bubbles
  parataxis                 | and there these were not just the usual bubbles
  parataxis                 | he blew all kinds of stuff from these bubbles all the differ
  subordinate_acl:relcl     | you can imagine
  coordinated_vp            | he blew the cars trains boats
  parataxis                 | and it was pretty much fun
  subordinate_advcl         | until he blew up a snake
  parataxis                 | the snake was dangerous
  coordinated_vp            | it wanted
  nonfinite_xcomp           | to bite him
  subordinate_advcl         | even though it was made of soap
  parataxis                 | but still you can never be sure
  parataxis                 | the boy got scared
  parataxis                 | but he was clever
  coordinated_vp            | and he decided
  nonfinite_xcomp           | to blow out something
  subordinate_advcl         | to protect himself from the snake
  coordinated_vp            | and he decided
  subordinate_ccomp         | that the best protection from snakes is a cat
  parataxis                 | he loved cats
  parataxis                 | the cat succeeded
  subordinate_advcl         | in making the snake go away
  coordinated_vp            | but then the cat itself turned up against the boy
  coordinated_vp            | so he decided
  subordinate_ccomp         | he needed some more protection from the cat this time
  coordinated_vp            | so he blew out elephant
  parataxis                 | the elephant made the cat go away
  coordinated_vp            | and then turned on the boy
  coordinated_vp            | the boy thought
  parataxis                 | nah that's not how it's gonna be
  coordinated_vp            | and he blew out mouse
  parataxis                 | everyone knows
  subordinate_ccomp         | that elephants are scared of mice
  coordinated_vp            | and so the elephant ran away like a little girl
  coordinated_vp            | and the mice followed him all the way to the end of the worl
  subordinate_acl:relcl     | where they luckily fell off the earth disc
  parataxis                 | so this adventure was too much for the boy
  coordinated_vp            | and he decided
  nonfinite_xcomp           | to not blow any more bubbles
  parataxis                 | he poured all his soap water into the earth
  coordinated_vp            | and walked away proudly
  coordinated_vp            | and walked away
  subordinate_advcl         | not mentioning
  subordinate_ccomp         | that a dragon arose from the soap water
  subordinate_advcl         | that he poured a dragon
  subordinate_acl:relcl     | that was very willing
  nonfinite_xcomp           | to play the end
File: ALL_145_F_VIE_ENG_ST1.TextGrid
Clauses: 32
  independent               | we move on to picture two
  parataxis                 | i probably won't even open the door
  coordinated_vp            | okay sure shut you up
  parataxis                 | and i don't mean
  parataxis                 | okay okay okay sure a bird saw a hat on the ground
  coordinated_vp            | he thought
  subordinate_ccomp         | it was cool
  coordinated_vp            | so he tried on
  coordinated_vp            | and he was walking around with a hat
  coordinated_vp            | with the hat on and then he saw another bird
  subordinate_acl:relcl     | who thought
  subordinate_ccomp         | he looked funny
  coordinated_vp            | and then the other bird started
  parataxis                 | laughing nonstop and this bird was annoyed apparently
  coordinated_vp            | and then he just gave up
  nonfinite_xcomp           | wearing that hat
  coordinated_vp            | and left it on the ground
  coordinated_vp            | and then the other bird saw that
  coordinated_vp            | and he took the hat
  coordinated_vp            | and then brought back to his nest
  subordinate_advcl         | so he while the other bird was observing
